source_id,file_name,relative_path,file_extension,file_size,checksum_sha256,filesystem_mtime,document_type,title,document_internal_id,document_version,effective_version,document_status,subsystem,security_level,external_model_allowed,parse_status,notes
SRC-30FD6FFB88,4_3D星载荷结构热方案设计报告-汇总.docx.pdf,3d打印 归档/智加X100电源模块交付文件盖章/4_3D星载荷结构热方案设计报告-汇总.docx.pdf,.pdf,2007416,95fbb6f3c8195e2a38b3c0925d1ab2a218442fb8d82d31683dc75e690b171573,2025-06-23T14:24:12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-28370F8489,4_智加X100电源模块单机_方案设计报告_20250619.docx.pdf,3d打印 归档/智加X100电源模块交付文件盖章/4_智加X100电源模块单机_方案设计报告_20250619.docx.pdf,.pdf,1128399,595fdf8dd31ad9d5cfcbb8fe30de0ac22616402cda26994c2b3854877f04daa9,2025-06-23T14:24:12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-062D987806,5_智加X100电源模块单机研制与质量总结报告_20250619.docx.pdf,3d打印 归档/智加X100电源模块交付文件盖章/5_智加X100电源模块单机研制与质量总结报告_20250619.docx.pdf,.pdf,1330900,535bec03e15ec1544027018e458d8e8c76f7086d41135c57fd5bf5a57a0f95c6,2025-06-23T14:24:12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-4E1FA31CEC,6_可靠性测试记录表1.docx.pdf,3d打印 归档/智加X100电源模块交付文件盖章/6_可靠性测试记录表1.docx.pdf,.pdf,282232,c4bf06ec36f105f3dfa6e4c7f8fc8e4d88e435525d35258064fde47825588551,2025-06-23T14:24:12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-179F2677C0,7_智加X100（硬件）验收测试记录表.pdf,3d打印 归档/智加X100电源模块交付文件盖章/7_智加X100（硬件）验收测试记录表.pdf,.pdf,2024243,c32a4ffd4f435a31136696eabeffafa6a1eae58065b7d15fba4ada762a85bd02,2025-06-23T14:24:12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-A602D33D06,8_智加X100电源模块产品说明书V1.0.docx.pdf,3d打印 归档/智加X100电源模块交付文件盖章/8_智加X100电源模块产品说明书V1.0.docx.pdf,.pdf,967288,16f6828fbc2236c920bf9dfc3017aee34448894ae127c7a623de7df3b8277c91,2025-06-23T14:24:14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-5FF8D8CECE,智加X100计算模块单机验收测试细则_20250120_终稿.docx,3d打印 归档/智加X100计算模块单机验收测试细则_20250120_终稿.docx,.docx,697403,91d945e23675611fdef053da05bff17256e82249b2b823509a7739d3d39fa256,2025-06-13T09:51:38,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-025354550E,6_3D打印星软件配置项测试记录.docx,6_3D打印星软件配置项测试记录.docx,.docx,360255,e0f35807698d7dfcbb3f0695f28cb38bfa23ebdca8c92a1495f445524eacfa01,2025-06-25T17:26:28,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-FDF0F0307B,6_3D打印星软件配置项测试记录20250114.docx,6_3D打印星软件配置项测试记录20250114.docx,.docx,492778,5a1e364c90e460852835c672af39ac0ee1d63e7f7a14c5751fabb9dcfd2c89ab,2025-06-25T17:26:28,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-B2A892EE20,8.11提交-3D打印卫星老练测试细则——智算载荷.docx,8.11提交-3D打印卫星老练测试细则——智算载荷.docx,.docx,90830,0f37392670775ada6466af46223a901a00eebf8494a387db5e426d2745d8b3f4,2025-08-11T14:43:38,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-4EC547E077,8.11提交-3D打印卫星老练测试细则—智加X100.docx,8.11提交-3D打印卫星老练测试细则—智加X100.docx,.docx,32772,c3bfbcd8cb2619f4234308c594c515bb2b4bb97eb471552558dd933186232f0a,2025-08-11T20:31:20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-EFAD8C948A,8.13提交-载荷研制总结.docx,8.13提交-载荷研制总结.docx,.docx,13082,7d9520c89a658c04d0e9b1c6f52da168ad767cf8db4c663f5122d1de52cb154f,2025-08-11T14:43:40,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-16D7611299,智加X100和智元Z1问题.docx,智加X100和智元Z1问题.docx,.docx,219728,1eb3abd8aa22fd3b162e6388284ec7d9aef37ed99b57e0435b20482d4a003d40,2025-08-01T09:02:00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-7ABA176185,智加X100测试覆盖性分析及检查报告-0805.docx,智加X100测试覆盖性分析及检查报告-0805.docx,.docx,45471,e2d6734044d0bf00dd7c8b0b71f9082a9d249cdbdfccb36ea981c057cf146cb5,2025-08-05T23:16:48,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-83765A0E9F,智加X100老炼测试结果.docx,智加X100老炼测试结果.docx,.docx,31805530,1b9d00c8a91f509cbd42e6cdf649591a3eaedf0378b71f432e70d96c5b135ecc,2025-09-02T10:31:12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-7A10397C1D,智加X100返修后上星测试情况和处理建议-上会版.docx,智加X100返修后上星测试情况和处理建议-上会版.docx,.docx,1381868,35a85f1fa9a225ade9c305d835ac5263f7589cac1d7d28114726db2c4d0f2fbf,2025-08-11T14:43:10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-D669ED4FD3,智加X100（硬件）验收测试记录表.pdf,智加X100（硬件）验收测试记录表.pdf,.pdf,1903571,02698936e3813b7e7f05fa74d3326478b1f6bb80a255ebce4afacbb2437d3fe0,2025-06-25T17:26:48,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-CC444CE4CE,01_3D打印卫星_智加X100计算模块交付清单_20250124.xlsx,智算机3D打印星验收外发国星文件/01_3D打印卫星_智加X100计算模块交付清单_20250124.xlsx,.xlsx,8858,b086a4eb3c7cbb6157d22c630f9b9b9a3815a6a62f12d32bb2b4b4bb1f746a94,2025-01-25T10:25:50,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-A523337B93,3D打印卫星计算载荷-智加X100计算模块 IDS表_20240924_签署.docx,智算机3D打印星验收外发国星文件/3D打印卫星计算载荷-智加X100计算模块 IDS表_20240924_签署.docx,.docx,1780173,31cae9edde9d1486bcc44b16630519da3e3f586a1efa8a299c406e98e5704f7f,2025-01-21T11:05:38,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
